Chr,Gene,MIS,MFS,Number_of_Haplotypes,Number_of_Haplotypes_Above_25_Samples
chr6,PF3D7_0613800,0.502,-2.525,652,4
chr6,PF3D7_0613900,1,-2.184,795,11
chr6,PF3D7_0614000,1,-0.228,185,5
chr6,PF3D7_0614100,1,0.148,882,34
chr6,PF3D7_0614200,0.121,-3.104,538,20
chr6,PF3D7_0614300,0.977,-1.479,211,8
chr6,PF3D7_0614400,0.199,-3.203,111,5
chr6,PF3D7_0614500,0.121,-3.036,14,1
chr6,PF3D7_0614600,1,-2.144,157,6
chr6,PF3D7_0614700,0.208,-2.728,190,5
chr6,PF3D7_0614800,0.997,-2.991,219,12
chr6,PF3D7_0614900,0.999,-1.558,356,18
chr6,PF3D7_0615000,0.138,-3.339,74,7
chr6,PF3D7_0615100,0.505,-2.462,180,12
chr6,PF3D7_0615200,0.968,0.018,164,9
chr6,PF3D7_0615300,0.133,-2.898,344,13
chr6,PF3D7_0615400,0.185,-2.772,1434,8
chr6,PF3D7_0615500,0.133,-2.786,122,13
chr6,PF3D7_0615600,1,-0.823,1153,12
chr6,PF3D7_0615700,1,-0.987,33,3
chr6,PF3D7_0615800,0.125,-2.915,561,9
chr6,PF3D7_0615900,1,-0.846,730,13
chr6,PF3D7_0616000,0.478,-2.377,62,6
chr6,PF3D7_0616100,0.805,0,66,3
chr6,PF3D7_0616200,0.167,-3.302,133,7
chr6,PF3D7_0616300,0.12,-2.956,73,3
chr6,PF3D7_0616400,0.125,-3.131,1598,40
chr6,PF3D7_0616500,1,0.179,683,23
chr6,PF3D7_0616600,0.235,-2.906,366,14
chr6,PF3D7_0616700,0.833,-2.447,214,8
chr6,PF3D7_0616800,0.992,-0.442,61,6
chr6,PF3D7_0616900,0.902,-0.607,848,29
chr6,PF3D7_0617000,0.128,-2.966,66,4
chr6,PF3D7_0617100,0.819,-2.939,220,11
chr6,PF3D7_0617200,0.881,-2.707,68,6
chr6,PF3D7_0617300,0.923,0,12,2
chr6,PF3D7_0617400,1,-0.531,,
chr6,PF3D7_0617500,1,-2.197,,
chr6,PF3D7_0617600,0.997,-2.16,,
chr6,PF3D7_0617700,0.935,-2.125,,
chr6,PF3D7_0617800,0.363,-2.378,2,1
chr6,PF3D7_0617900,0.411,-2.618,2,1
chr6,PF3D7_0618000,1,0.308,264,12
chr6,PF3D7_0618100,0.129,-3.057,336,12
chr6,PF3D7_0618200,0.368,-2.839,45,2
chr6,PF3D7_0618300,0.134,-3.121,19,1
chr6,PF3D7_0618400,1,0.432,276,12
chr6,PF3D7_0618500,0.12,-2.827,28,3
chr6,PF3D7_0618600,0.965,-3.036,65,5
chr6,PF3D7_0618700,0.376,-3.589,119,3
chr6,PF3D7_0618800,0.13,-3.169,431,10
chr6,PF3D7_0618900,0.254,-2.777,274,10
chr6,PF3D7_0619000,0.135,-3.131,675,22
chr6,PF3D7_0619100,0.252,-2.699,138,6
chr6,PF3D7_0619200,0.188,-2.779,659,17
chr6,PF3D7_0619300,1,-0.913,1496,28
chr6,PF3D7_0619400,0.425,-2.6,26,4
chr6,PF3D7_0619500,1,-0.623,722,19
chr6,PF3D7_0619600,0.148,-2.836,1261,67
chr6,PF3D7_0619700,0.144,-3.008,194,6
chr6,PF3D7_0619800,0.129,-2.918,987,16
chr6,PF3D7_0619900,1,0.872,29,2
chr6,PF3D7_0620000,0.8,-2.254,103,8
chr6,PF3D7_0620100,0.435,-3.773,19,1
chr6,PF3D7_0620200,0.139,-2.852,80,4
chr6,PF3D7_0620300,0.946,-2.644,407,14
chr6,PF3D7_0620400,0.347,-2.675,1065,46
chr6,PF3D7_0620500,0.171,-2.737,304,13
chr6,PF3D7_0620600,0.957,-2.536,157,6
chr6,PF3D7_0620700,0.18,-3.42,170,7
chr6,PF3D7_0620800,,,1,1
chr6,PF3D7_0620900,,,1,1
chr6,PF3D7_0621000,0.138,-3.158,290,8
chr6,PF3D7_0621100,0.171,-2.756,707,28
chr6,PF3D7_0621200,0.919,-2.67,30,1
chr6,PF3D7_0621300,0.127,-3.04,493,17
chr6,PF3D7_0621350,1,0.451,45,3
chr6,PF3D7_0621400,1,-1.829,282,14
chr6,PF3D7_0621500,0.16,-3.206,95,5
chr6,PF3D7_0621700,0.151,-3.17,563,14
chr6,PF3D7_0621800,0.159,-2.92,21,1
chr6,PF3D7_0621900,0.141,-2.905,351,14
chr6,PF3D7_0622000,0.255,-2.71,81,7
chr6,PF3D7_0622100,0.998,-2.104,731,19
chr6,PF3D7_0622200,1,0.878,343,14
chr6,PF3D7_0622300,0.125,-2.89,215,13
chr6,PF3D7_0622400,0.301,-3.489,40,2
chr6,PF3D7_0622500,0.979,-3.023,217,9
chr6,PF3D7_0622600,0.127,-3.102,15,2
chr6,PF3D7_0622700,1,-0.802,138,6
chr6,PF3D7_0622800,0.561,-2.361,509,17
chr6,PF3D7_0622900,1,-0.111,889,12
chr6,PF3D7_0623000,0.459,-2.7,169,3
chr6,PF3D7_0623100,0.488,-2.519,395,16
chr6,PF3D7_0623200,0.162,-2.798,116,6
chr6,PF3D7_0623300,0.935,-2.235,54,11
chr6,PF3D7_0623400,0.41,-3.192,91,4
chr6,PF3D7_0623500,0.174,-3.224,92,6
chr6,PF3D7_0623600,0.985,-2.573,193,4
chr6,PF3D7_0623700,0.9,-2.929,618,22
chr6,PF3D7_0623800,1,-2.685,1853,46
chr6,PF3D7_0623900,0.315,-2.412,59,4
chr6,PF3D7_0624000,0.462,-2.565,16,2
chr6,PF3D7_0624100,0.175,-2.656,77,1
chr6,PF3D7_0624200,0.72,-0.314,180,6
chr6,PF3D7_0624300,0.565,-2.48,63,5
chr6,PF3D7_0624400,0.318,-3.396,308,11
chr6,PF3D7_0624500,0.888,-2.97,6,2
chr6,PF3D7_0624600,0.992,-2.746,688,21
chr6,PF3D7_0624700,0.99,-2.574,103,4
chr6,PF3D7_0624800,0.834,-2.137,469,32
chr6,PF3D7_0624900,0.961,0.921,141,4
chr6,PF3D7_0625000,0.536,-2.574,45,3
chr6,PF3D7_0625100,1,0.728,76,8
chr6,PF3D7_0625200,0.149,-2.955,208,9
chr6,PF3D7_0625300,0.144,-2.934,461,10
chr6,PF3D7_0625400,0.12,-3.076,165,8
chr6,PF3D7_0625500,0.195,-3.351,109,3
chr6,PF3D7_0625600,0.126,-2.835,86,5
chr6,PF3D7_0625700,0.318,-3.282,21,1
chr6,PF3D7_0625800,0.996,-2.836,355,8
chr6,PF3D7_0625900,0.999,-2.177,221,17
chr6,PF3D7_0626000,0.613,-2.988,998,35
chr6,PF3D7_0626100,0.31,-2.764,93,3
chr6,PF3D7_0626200,0.14,-3.161,222,9
chr6,PF3D7_0626300,1,-1.284,117,5
chr6,PF3D7_0626400,0.286,-2.591,404,16
chr6,PF3D7_0626500,1,-0.529,421,10
chr6,PF3D7_0626600,0.218,-2.665,47,1
chr6,PF3D7_0626700,0.163,-2.643,87,2
chr6,PF3D7_0626800,0.147,-2.921,22,2
chr6,PF3D7_0626900,0.12,-3.011,159,4
chr6,PF3D7_0627000,0.991,-2.321,59,1
chr6,PF3D7_0627100,0.143,-3.205,427,16
chr6,PF3D7_0627200,0.189,0,63,4
chr6,PF3D7_0627300,0.965,-2.698,187,11
chr6,PF3D7_0627400,0.256,-3.331,32,2
chr6,PF3D7_0627500,0.297,-2.711,21,3
chr6,PF3D7_0627600,0.125,-2.887,185,6
chr6,PF3D7_0627700,0.12,-3.073,224,8
chr6,PF3D7_0627800,0.168,-2.84,473,34
chr6,PF3D7_0627900,0.657,-3.368,67,3
chr6,PF3D7_0628000,0.139,-2.917,22,1
chr6,PF3D7_0628100,1,-2.669,1350,9
chr6,PF3D7_0628200,0.14,-2.881,528,11
chr6,PF3D7_0628300,0.124,-2.917,21,2
chr6,PF3D7_0628400,0.814,-2.317,91,2
chr6,PF3D7_0628500,1,-1.327,34,2
chr6,PF3D7_0628600,0.998,-1.057,61,3
chr6,PF3D7_0628700,0.129,-3.206,226,6
chr6,PF3D7_0628800,0.2,-2.724,160,8
chr6,PF3D7_0628900,0.124,-3.163,498,10
chr6,PF3D7_0629000,0.229,-3.365,38,1
chr6,PF3D7_0629100,0.829,-3.036,111,8
chr6,PF3D7_0629200,1,0.48,33,2
chr6,PF3D7_0629300,0.425,-2.636,73,7
chr6,PF3D7_0629400,1,-1.676,148,5
chr6,PF3D7_0629500,0.143,-2.882,113,8
chr6,PF3D7_0629600,0.123,-3.185,72,2
chr6,PF3D7_0629700,0.983,-2.801,886,9
chr6,PF3D7_0629800,0.124,-3.086,323,10
chr6,PF3D7_0629900,0.645,-2.867,47,2
chr6,PF3D7_0630000,1,-1.785,78,3
chr6,PF3D7_0630100,0.997,-2.017,425,16
chr6,PF3D7_0630200,0.126,-3.114,28,2
chr6,PF3D7_0630300,0.122,-3.04,648,17
chr6,PF3D7_0630400,0.562,-1.286,120,13
chr6,PF3D7_0630500,0.157,-2.795,164,8
chr6,PF3D7_0630600,0.136,-2.854,186,6
chr6,PF3D7_0630700,1,-0.595,560,38
chr6,PF3D7_0630800,0.147,-3.085,141,7
chr6,PF3D7_0630900,0.119,-3.188,158,19
chr6,PF3D7_0631000,0.129,-2.938,,
chr6,PF3D7_0631100,1,-1.78,,
chr6,PF3D7_0631200,1,-1.774,,
chr6,PF3D7_0631300,0.931,-2.57,,
chr6,PF3D7_0631400,0.119,-2.931,,
chr6,PF3D7_0631500,0.795,-2.843,,
chr6,PF3D7_0631600,0.151,-2.727,,
chr6,PF3D7_0631700,0.5,-2.272,,
chr6,PF3D7_0631800,0.613,-2.392,,
chr6,PF3D7_0631900,0.254,-2.854,,
chr6,PF3D7_0632000,0.386,-2.526,,
chr6,PF3D7_0632100,0.987,-2.152,,
chr6,PF3D7_0632200,0.794,-2.092,,
chr6,PF3D7_0632300,0.888,-2.14,,
chr6,PF3D7_0632400,0.416,-2.446,,
chr6,PF3D7_0632500,1,-1.051,,
chr6,PF3D7_0632600,1,-1.692,,
chr6,PF3D7_0632700,1,-2.303,,
chr7,PF3D7_0700100,1,-1.878,,
chr7,PF3D7_0700200,1,2.142,,
chr7,PF3D7_0700300,0.134,-2.89,,
chr7,PF3D7_0700400,0.587,-3.049,,
chr7,PF3D7_0700500,1,1.591,,
chr7,PF3D7_0700600,0.766,-3.384,,
chr7,PF3D7_0700700,1,1.922,,
chr7,PF3D7_0700800,0.985,1.29,,
chr7,PF3D7_0700900,1,-1.405,,
chr7,PF3D7_0701000,0.827,-2.69,,
chr7,PF3D7_0701100,0.353,-2.442,,
chr7,PF3D7_0701200,0.409,-2.535,,
chr7,PF3D7_0701300,0.5,-2.536,,
chr7,PF3D7_0701400,0.149,-3.195,,
chr7,PF3D7_0701500,0.795,-2.678,,
chr7,PF3D7_0701600,0.988,-0.239,,
chr7,PF3D7_0701700,0.931,-2.676,,
chr7,PF3D7_0701800,0.182,-2.75,,
chr7,PF3D7_0701900,1,-1.831,1227,29
chr7,PF3D7_0702000,0.121,-3.1,176,31
chr7,PF3D7_0702100,0.258,-2.573,,
chr7,PF3D7_0702200,1,-0.889,104,7
chr7,PF3D7_0702300,1,-0.119,104,12
chr7,PF3D7_0702400,1,-1.346,30,7
chr7,PF3D7_0702500,1,2.017,108,15
chr7,PF3D7_0702600,0.12,-2.679,36,2
chr7,PF3D7_0702800,,,3,1
chr7,PF3D7_0702900,0.269,-1.176,44,8
chr7,PF3D7_0703000,0.119,-3.114,1429,30
chr7,PF3D7_0703100,0.122,-3.239,41,2
chr7,PF3D7_0703200,0.289,-2.602,1816,27
chr7,PF3D7_0703300,1,0.74,64,4
chr7,PF3D7_0703400,0.756,-2.75,628,24
chr7,PF3D7_0703500,0.122,-2.946,917,20
chr7,PF3D7_0703600,0.981,0,46,6
chr7,PF3D7_0703700,0.14,-3.118,178,7
chr7,PF3D7_0703800,1,-2.926,332,21
chr7,PF3D7_0703900,0.12,-2.992,1543,4
chr7,PF3D7_0704000,1,-2.475,3376,38
chr7,PF3D7_0704100,1,-2.004,1683,24
chr7,PF3D7_0704200,1,-0.795,534,7
chr7,PF3D7_0704300,1,-0.847,354,5
chr7,PF3D7_0704400,0.261,-2.77,865,21
chr7,PF3D7_0704500,1,-2.787,1161,24
chr7,PF3D7_0704600,1,-2.305,2614,23
chr7,PF3D7_0704700,0.997,-2.699,943,33
chr7,PF3D7_0704800,1,-0.628,763,22
chr7,PF3D7_0704900,0.126,-2.841,89,2
chr7,PF3D7_0705000,0.126,-2.834,372,14
chr7,PF3D7_0705100,1,0.235,727,31
chr7,PF3D7_0705200,0.153,-2.901,1458,51
chr7,PF3D7_0705300,0.127,-2.838,243,8
chr7,PF3D7_0705400,0.222,-2.769,69,5
chr7,PF3D7_0705500,0.137,-2.894,1612,35
chr7,PF3D7_0705600,0.181,-2.822,602,17
chr7,PF3D7_0705700,0.178,-3.462,3,1
chr7,PF3D7_0705800,0.183,-2.508,63,3
chr7,PF3D7_0705900,0.135,-3.391,36,1
chr7,PF3D7_0706000,0.128,-3.11,128,7
chr7,PF3D7_0706100,0.458,-3.262,556,25
chr7,PF3D7_0706200,0.28,-2.66,43,2
chr7,PF3D7_0706300,1,0,65,1
chr7,PF3D7_0706400,0.125,-2.837,9,1
chr7,PF3D7_0706500,1,-1.314,1070,32
chr7,PF3D7_0706600,0.154,-2.768,490,15
chr7,PF3D7_0706700,1,-2.444,299,8
chr7,PF3D7_0706900,,,1,1
chr7,PF3D7_0707200,0.141,-2.883,1202,29
chr7,PF3D7_0707300,1,-1.474,642,21
chr7,PF3D7_0707400,0.13,-3.204,108,3
chr7,PF3D7_0707420,,,1,1
chr7,PF3D7_0707500,0.143,-3.22,1196,24
chr7,PF3D7_0707600,0.876,-2.852,73,3
chr7,PF3D7_0707700,0.998,-2.479,241,6
chr7,PF3D7_0707800,0.128,-2.912,426,14
chr7,PF3D7_0707900,0.123,-3.278,51,3
chr7,PF3D7_0708000,0.132,-2.842,252,8
chr7,PF3D7_0708100,0.126,0,6,1
chr7,PF3D7_0708200,1,-0.954,623,36
chr7,PF3D7_0708300,0.91,-3.11,68,5
chr7,PF3D7_0708400,0.236,-2.653,98,9
chr7,PF3D7_0708500,0.986,-2.169,466,10
chr7,PF3D7_0708600,0.508,-1.222,68,1
chr7,PF3D7_0708700,0.994,-2.415,52,2
chr7,PF3D7_0708800,0.14,-2.848,106,1
chr7,PF3D7_0708900,0.134,-2.979,109,6
chr7,PF3D7_0709000,0.127,-3.025,128,22
chr7,PF3D7_0709100,1,-1.804,860,14
chr7,PF3D7_0709200,0.973,-2.836,105,11
chr7,PF3D7_0709300,0.141,-2.91,613,1
chr7,PF3D7_0709400,0.741,-3.019,686,19
chr7,PF3D7_0709500,0.126,-2.926,29,4
chr7,PF3D7_0709600,0.123,-3.036,1014,31
chr7,PF3D7_0709700,0.913,-2.961,66,7
chr7,PF3D7_0709800,0.331,-2.348,13,1
chr7,PF3D7_0709900,1,-1.214,1104,20
chr7,PF3D7_0710000,0.119,-3.068,3619,27
chr7,PF3D7_0710100,0.12,-3.097,241,14
chr7,PF3D7_0710200,0.153,-2.841,57,0
chr7,PF3D7_0710300,0.146,-3.538,38,2
chr7,PF3D7_0710400,0.155,-2.88,274,29
chr7,PF3D7_0710500,0.125,-3.156,69,3
chr7,PF3D7_0710600,0.142,-2.729,31,1
chr7,PF3D7_0710700,0.121,-2.861,136,13
chr7,PF3D7_0710800,0.986,-2.716,179,7
chr7,PF3D7_0710900,0.175,-3.233,190,15
chr7,PF3D7_0711000,0.125,-2.992,345,13
chr7,PF3D7_0711100,1,-1.18,68,8
chr7,PF3D7_0711200,0.146,-3.255,1190,78
chr7,PF3D7_0711300,0.13,-2.592,42,4
chr7,PF3D7_0711400,1,-1.478,508,38
chr7,PF3D7_0711500,0.42,-2.602,273,44
chr7,PF3D7_0711700,1,-2.042,,
chr7,PF3D7_0711900,0.997,-2.185,,
chr7,PF3D7_0712000,1,0.169,,
chr7,PF3D7_0712200,0.153,-2.916,,
chr7,PF3D7_0712300,1,-2.06,,
chr7,PF3D7_0712400,0.998,-2.015,,
chr7,PF3D7_0712500,0.794,-2.346,,
chr7,PF3D7_0712600,0.913,-2.227,,
chr7,PF3D7_0712800,1,-0.884,,
chr7,PF3D7_0712900,1,0.875,,
chr7,PF3D7_0713000,0.138,-2.76,,
chr7,PF3D7_0713100,0.802,0.52,235,45
chr7,PF3D7_0713200,0.581,-2.385,186,36
chr7,PF3D7_0713300,1,-2.335,,
chr7,PF3D7_0713400,0.119,-3.149,33,5
chr7,PF3D7_0713500,1,-2.544,984,70
chr7,PF3D7_0713600,0.127,-2.964,784,65
chr7,PF3D7_0713700,0.153,-3.211,41,7
chr7,PF3D7_0713800,0.135,-3.214,40,5
chr7,PF3D7_0713900,1,-0.479,2428,23
chr7,PF3D7_0714000,0.769,-2.375,2,1
chr7,PF3D7_0714100,1,-1.688,207,11
chr7,PF3D7_0714200,1,-2.143,663,22
chr7,PF3D7_0714300,1,-2.299,507,16
chr7,PF3D7_0714400,0.826,-2.665,62,3
chr7,PF3D7_0714500,0.168,-2.857,123,7
chr7,PF3D7_0714600,0.31,-2.587,283,15
chr7,PF3D7_0714700,,,1,1
chr7,PF3D7_0715000,0.913,-2.49,89,4
chr7,PF3D7_0715100,0.141,-3.055,40,1
chr7,PF3D7_0715200,1,-2.289,1005,27
chr7,PF3D7_0715300,0.977,-0.436,116,3
chr7,PF3D7_0715400,1,-2.83,51,2
chr7,PF3D7_0715500,1,-1.82,11,1
chr7,PF3D7_0715600,0.121,-2.943,96,5
chr7,PF3D7_0715700,0.161,-3.047,14,2
chr7,PF3D7_0715800,0.847,-3.052,196,15
chr7,PF3D7_0715900,1,-1.312,169,7
chr7,PF3D7_0716000,0.255,-2.619,678,30
chr7,PF3D7_0716100,0.19,-3.271,300,9
chr7,PF3D7_0716200,0.153,-2.763,472,25
chr7,PF3D7_0716300,0.574,-2.253,225,32
chr7,PF3D7_0716400,0.14,0,22,1
chr7,PF3D7_0716500,0.653,-3.058,166,7
chr7,PF3D7_0716600,0.408,-2.488,140,10
chr7,PF3D7_0716700,0.206,-2.764,1753,27
chr7,PF3D7_0716800,0.143,-2.97,14,2
chr7,PF3D7_0716900,0.122,-3.195,14,1
chr7,PF3D7_0717000,0.703,-2.707,46,4
chr7,PF3D7_0717100,1,0.88,228,13
chr7,PF3D7_0717200,0.5,-2.423,70,7
chr7,PF3D7_0717300,0.486,-2.701,89,6
chr7,PF3D7_0717400,1,1.159,971,47
chr7,PF3D7_0717500,0.999,-2.794,24,2
chr7,PF3D7_0717600,0.329,-2.592,290,9
chr7,PF3D7_0717700,0.127,-3.11,124,6
chr7,PF3D7_0717800,1,-2.389,553,14
chr7,PF3D7_0717900,0.14,-2.871,89,5
chr7,PF3D7_0718000,1,-0.669,524,8
chr7,PF3D7_0718100,1,-1.152,724,21
chr7,PF3D7_0718300,1,-0.19,302,15
chr7,PF3D7_0718400,0.153,-2.673,12,3
chr7,PF3D7_0718500,0.18,-3.36,23,3
chr7,PF3D7_0718600,1,0.148,394,13
chr7,PF3D7_0718700,0.982,0.741,176,5
chr7,PF3D7_0718800,0.123,-2.982,22,5
chr7,PF3D7_0718900,0.378,-2.456,76,4
chr7,PF3D7_0719000,0.128,-3.107,46,3
chr7,PF3D7_0719100,0.143,-3.6,40,2
chr7,PF3D7_0719200,0.195,-2.384,10,1
chr7,PF3D7_0719300,0.368,-2.587,307,11
chr7,PF3D7_0719400,1,-2.574,816,21
chr7,PF3D7_0719500,0.184,-2.777,87,6
chr7,PF3D7_0719600,0.847,-2.407,8,1
chr7,PF3D7_0719700,0.18,-2.637,7,1
chr7,PF3D7_0719800,0.243,-3.54,62,4
chr7,PF3D7_0719900,0.165,-2.803,2481,25
chr7,PF3D7_0720000,0.135,-2.898,52,2
chr7,PF3D7_0720100,0.199,-2.807,123,3
chr7,PF3D7_0720200,0.121,-2.787,32,2
chr7,PF3D7_0720300,0.981,-2.072,32,2
chr7,PF3D7_0720400,0.996,-2.908,136,5
chr7,PF3D7_0720500,0.169,-3.381,19,1
chr7,PF3D7_0720600,1,0,34,3
chr7,PF3D7_0720700,1,-2.65,1589,39
chr7,PF3D7_0720800,0.139,-2.831,54,6
chr7,PF3D7_0720900,0.984,-1.824,71,9
chr7,PF3D7_0721000,0.221,-2.698,331,2
chr7,PF3D7_0721100,0.121,-2.967,40,1
chr7,PF3D7_0721200,0.401,-2.496,640,32
chr7,PF3D7_0721300,0.149,-2.847,451,13
chr7,PF3D7_0721400,1,-0.166,43,4
chr7,PF3D7_0721500,0.167,-2.777,385,14
chr7,PF3D7_0721600,0.12,-2.873,15,1
chr7,PF3D7_0721700,1,-2.882,109,5
chr7,PF3D7_0721800,0.165,0,19,1
chr7,PF3D7_0721900,0.208,0,13,1
chr7,PF3D7_0722000,0.998,-2.061,147,3
chr7,PF3D7_0722100,1,-0.646,120,4
chr7,PF3D7_0722200,0.241,-2.644,302,12
chr7,PF3D7_0722300,1,-2.722,362,12
chr7,PF3D7_0722400,0.12,-2.921,22,1
chr7,PF3D7_0722500,0.784,-1.881,93,2
chr7,PF3D7_0722600,0.245,-2.718,114,6
chr7,PF3D7_0722700,0.163,0,19,1
chr7,PF3D7_0722800,0.998,-2.575,145,4
chr7,PF3D7_0722900,0.666,-2.366,68,2
chr7,PF3D7_0723000,0.14,-3.009,55,3
chr7,PF3D7_0723100,1,-0.424,138,8
chr7,PF3D7_0723200,0.885,-1.844,58,3
chr7,PF3D7_0723300,0.792,-2.426,221,12
chr7,PF3D7_0723400,1,-2.317,800,21
chr7,PF3D7_0723500,0.599,-2.327,53,2
chr7,PF3D7_0723600,0.119,-3.433,57,4
chr7,PF3D7_0723700,0.48,-2.518,443,20
chr7,PF3D7_0723800,0.119,-3.004,25,0
chr7,PF3D7_0723900,1,-1.763,682,17
chr7,PF3D7_0724000,0.127,-3.09,747,20
chr7,PF3D7_0724100,0.64,-2.325,558,21
chr7,PF3D7_0724200,0.121,-3.143,169,7
chr7,PF3D7_0724300,0.79,-2.616,80,4
chr7,PF3D7_0724400,0.177,-3.869,8,3
chr7,PF3D7_0724500,0.285,-3.4,103,6
chr7,PF3D7_0724600,1,-1.997,1050,20
chr7,PF3D7_0724700,0.153,-2.825,1031,20
chr7,PF3D7_0724800,1,-1.13,75,7
chr7,PF3D7_0724900,1,-1.849,925,31
chr7,PF3D7_0725000,1,-1.33,505,22
chr7,PF3D7_0725100,0.121,-3.078,1535,16
chr7,PF3D7_0725200,0.999,-2.167,12,1
chr7,PF3D7_0725300,0.223,-2.714,248,10
chr7,PF3D7_0725400,0.12,-3.651,19,3
chr7,PF3D7_0725800,,,1,1
chr7,PF3D7_0725900,,,3,1
chr7,PF3D7_0726050,,,115,4
chr7,PF3D7_0726100,1,-2.417,285,5
chr7,PF3D7_0726200,1,-0.82,439,14
chr7,PF3D7_0726300,0.141,-2.924,160,2
chr7,PF3D7_0726400,0.139,-2.875,3214,28
chr7,PF3D7_0726500,0.26,-2.656,1347,31
chr7,PF3D7_0726600,0.16,-2.822,348,12
chr7,PF3D7_0726700,0.308,-3.436,59,2
chr7,PF3D7_0726800,0.143,-3.108,26,1
chr7,PF3D7_0726900,0.12,-2.952,241,11
chr7,PF3D7_0727000,0.882,-2.948,847,24
chr7,PF3D7_0727100,0.368,-2.49,789,27
chr7,PF3D7_0727200,0.335,-2.553,280,27
chr7,PF3D7_0727300,1,-2.291,675,25
chr7,PF3D7_0727400,1,0,31,3
chr7,PF3D7_0727500,0.134,-3.149,252,10
chr7,PF3D7_0727600,0.119,-2.953,1036,44
chr7,PF3D7_0727700,0.126,-2.95,879,29
chr7,PF3D7_0727800,0.139,-2.826,1512,43
chr7,PF3D7_0727900,1,-0.726,1477,31
chr7,PF3D7_0728000,0.12,-3.124,24,2
chr7,PF3D7_0728100,0.136,-2.857,2416,18
chr7,PF3D7_0728200,1,-1.961,235,6
chr7,PF3D7_0728300,0.466,-2.619,68,1
chr7,PF3D7_0728400,0.831,-4.024,62,4
chr7,PF3D7_0728500,0.987,-1.644,81,4
chr7,PF3D7_0728600,1,-0.317,868,25
chr7,PF3D7_0728700,0.242,-2.59,323,11
chr7,PF3D7_0728800,0.126,-3.068,272,10
chr7,PF3D7_0728900,0.213,-2.717,258,16
chr7,PF3D7_0729000,0.425,-2.541,38,2
chr7,PF3D7_0729100,0.994,-1.51,728,19
chr7,PF3D7_0729200,0.857,-2.976,47,6
chr7,PF3D7_0729300,0.123,-2.946,383,16
chr7,PF3D7_0729400,0.12,-2.865,233,10
chr7,PF3D7_0729500,0.126,-3.166,320,21
chr7,PF3D7_0729600,0.989,0,36,1
chr7,PF3D7_0729700,0.125,-3.104,428,15
chr7,PF3D7_0729800,0.186,-3.884,18,1
chr7,PF3D7_0729900,1,-0.74,702,22
chr7,PF3D7_0730000,0.277,-3.414,23,1
chr7,PF3D7_0730100,1,-1.292,483,15
chr7,PF3D7_0730200,0.134,-3.071,258,8
chr7,PF3D7_0730300,1,-2.478,718,36
chr7,PF3D7_0730400,0.465,-1.239,11,1
chr7,PF3D7_0730500,1,-2.707,1862,34
chr7,PF3D7_0730700,,,1,1
chr7,PF3D7_0730800,1,-1.895,134,17
chr7,PF3D7_0730900,1,-2.024,144,10
chr7,PF3D7_0731100,0.999,-2.299,263,18
chr7,PF3D7_0731200,0.993,-1.571,95,3
chr7,PF3D7_0731300,0.21,-2.693,64,3
chr7,PF3D7_0731400,1,-2.807,,
chr7,PF3D7_0731500,1,-1.966,907,34
chr7,PF3D7_0731600,1,-2.618,125,14
chr7,PF3D7_0731700,0.957,-2.381,81,12
chr7,PF3D7_0731800,1,-0.781,236,31
chr7,PF3D7_0731900,1,-1.391,,
chr7,PF3D7_0732000,1,-1.564,,
chr7,PF3D7_0732100,0.82,-2.463,,
chr7,PF3D7_0732200,0.98,-2.126,,
chr7,PF3D7_0732300,0.194,-2.604,,
chr7,PF3D7_0732400,0.176,-2.477,,
chr7,PF3D7_0732500,0.984,0,,
chr7,PF3D7_0732600,0.128,0,,
chr7,PF3D7_0732700,1,0.473,,
chr7,PF3D7_0732800,0.991,-1.756,,
chr7,PF3D7_0732900,0.271,-2.676,,
chr8,PF3D7_0800100,1,-1.699,,
chr8,PF3D7_0800200,1,-0.128,,
chr8,PF3D7_0800300,1,-2.056,,
chr8,PF3D7_0800400,0.146,-2.517,,
chr8,PF3D7_0800500,0.211,-2.696,,
chr8,PF3D7_0800600,0.999,-2.602,,
chr8,PF3D7_0800700,1,-1.181,,
chr8,PF3D7_0800800,0.126,-2.927,153,15
chr8,PF3D7_0800900,0.995,-1.428,,
chr8,PF3D7_0801000,0.978,-3.004,60,2
chr8,PF3D7_0801200,,,1,1
chr8,PF3D7_0801300,0.324,-2.353,55,15
chr8,PF3D7_0801400,0.158,-2.559,12,2
chr8,PF3D7_0801500,0.258,-2.597,173,7
chr8,PF3D7_0801600,0.999,-2.633,26,4
chr8,PF3D7_0801700,0.524,-2.502,1246,35
chr8,PF3D7_0801800,0.999,-2.624,374,10
chr8,PF3D7_0801900,1,-0.204,500,0
chr8,PF3D7_0802000,0.956,-2.853,356,11
chr8,PF3D7_0802100,0.304,-2.584,1951,32
chr8,PF3D7_0802200,0.956,-2.441,54,3
chr8,PF3D7_0802300,0.119,-3.078,464,22
chr8,PF3D7_0802400,0.16,-2.733,381,17
chr8,PF3D7_0802500,0.945,-2.859,436,15
chr8,PF3D7_0802600,0.254,-2.681,642,17
chr8,PF3D7_0802700,1,-1.922,149,4
chr8,PF3D7_0802800,0.178,-2.768,105,5
chr8,PF3D7_0802900,0.126,-3.337,29,3
chr8,PF3D7_0803000,0.999,-2.903,426,22
chr8,PF3D7_0803100,0.17,-2.771,252,2
chr8,PF3D7_0803200,0.827,-2.363,329,19
